"","State","Lake.Name","Scientific.Name","Common.Name","Family","Niche","Analyte","Amount","Unit.1","Unit.2"
"175","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluoroheptanoate (PFHpA)",NA,"ng/g","ppb"
"176","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorooctanoate (PFOA)",NA,"ng/g","ppb"
"177","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorooctanesulfonate (PFOS)",8.7,"ng/g","ppb"
"178","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorooctane sulfonamide (PFOSA)",NA,"ng/g","ppb"
"179","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorononanoate (PFNA)",2.2,"ng/g","ppb"
"180","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorodecanoate (PFDA)",0.88,"ng/g","ppb"
"181","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluoroundecanoate (PFUnA)",2.1,"ng/g","ppb"
"182","MI","Lake Superior","Salvelinus fontinalis X Salvelinus namaycush","Splake","Salmonidae","P","Perfluorododecanoate (PFDoA)",0.4,"ng/g","ppb"
"183","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutanoate (PFBA)",0.33,"ng/g","ppb"
"184","MI","Lake Superior","Salvelinus namaycush","Lake trout","Salmonidae","P","Perfluorobutane sulfonate (PFBS)",NA,"ng/g","ppb"
